Teilnehmer	AufgabeItem	Antwort	gesamt	dist
2292	51.1	keine Noten zu geben	1	4.0
2331	51.1	keine Noten geben, nur Hinweise, die die Menschen orientiren können, wo ihre Schwäche sich befinden  Entwicklungsgespräche	1	4.0
2789	51.1	keine Schulnoten für Schuler geben	1	2.6666666666666665
2524	51.1	Nöten sollen nicht die Haupt  Keine Noten, sonder Hinweisen	1	2.6666666666666665
2527	51.1	keine Noten erhalten	1	2.6666666666666665
2535	51.1	keine faire Beurteilung von Noten,die Noten sind nicht gleich	0	2.6666666666666665
2443	51.1	keine Noten  nur Schriftlliche berichte und Hinweise an Lernende, wo sie sich verbessern können	1	2.6666666666666665
2452	51.1	faire Noten geben  durch schriftl Berichte ersetzt werden müssen	1	2.6666666666666665
2453	51.1	keine Noten, Berichte über Leistungen	1	2.6666666666666665
2456	51.1	keine Noten nur Hinweise	1	2.6666666666666665
2509	51.1	Keine Noten für Studenten.	1	2.6666666666666665
2747	51.1	"Kritik, keine Noten, ""wo kann ich mich verbessern"", entwlickung Gespräche um die schwache Punkten zu wissen"	1	2.6666666666666665
2438	51.1	durch Noten keine faire Beurteilung  keine Kombination aus Noten und Kommentaren  Noten ersetzen z.B. durch Berichte	1	2.6666666666666665
2775	51.1	Keine Noten, sonst Hinweise	1	2.6666666666666665
2649	51.1	Die Schüler sollten keine konkreten Noten, sondern nur Kommentar bekommen	1	2.6666666666666665
2723	51.1	Keine Noten sondern nur Punken wo man sich verbesseren soll.	0	2.6666666666666665
2477	51.1	Ruckmeldung keine Noten   die Noten sind diemotievioetr	1	2.6666666666666665
2749	51.1	Klassische Noten zu geben macht sinn.	0	2.6666666666666665
2433	51.1	Statt Noten, den Schuler schriftliche Berichten geben	1	2.6666666666666665
2515	51.1	nichtvergleichbare Note muss man die Schüler geben	0	1.6666666666666665
2525	51.1	Schüler sollten keine Note bekommen, aber eine andere Antwort	1	1.6666666666666665
2400	51.1	Die Schulnoten sind sehr subjektiv und unvergleichbar  Bei die selben Korrektur Aufgaben gibt es unterschiedliche Noten	0	1.6666666666666665
2460	51.1	keine bestimmte Note auch ohne Kommentar, nur im Form von einem Bericht	1	1.6666666666666665
2743	51.1	wenige vergleich  die aufgabe keine nute bekommen	0	1.3333333333333333
2436	51.1	klassiche Noten notwendig	0	1.3333333333333333
2658	51.1	Die Noten sind nicht Vergleichbar.	0	1.3333333333333333
2696	51.1	Noten in der Schule sind wenig vergleichbar.	0	1.3333333333333333
2751	51.1	Klassische Noten	0	1.3333333333333333
2445	51.1	kritiesiert Noten	0	1.3333333333333333
2752	51.1	Noten muss nicht aufgegeben haben werdern.   Studenten sollen verscheidene Methoden  nutzen können	0	1.3333333333333333
