Teilnehmer	AufgabeItem	Antwort	gesamt	jwdist
2292	51.1	keine Noten zu geben	1	0.3333333333333333
2527	51.1	keine Noten erhalten	1	0.16666666666666666
2294	51.1	neue Notensysteme	0	0.1111111111111111
2384	51.1	klasische Notengebung	0	0.1111111111111111
2779	51.1	nue Notesystem	0	0.1
2735	51.1	klassische Notengebung	0	0.1
2483	51.1	die noten	0	0.1
2456	51.1	keine Noten nur Hinweise	1	0.09090909090909091
2542	51.1	Noten system	0	0.09090909090909091
2378	51.1	gleich Notte	0	0.09090909090909091
2509	51.1	Keine Noten für Studenten.	1	0.08333333333333333
2360	51.1	notesystem	0	0.08333333333333333
2363	51.1	Notesystem	0	0.08333333333333333
2520	51.1	veie beurteilung	0	0.08333333333333333
2445	51.1	kritiesiert Noten	0	0.08333333333333333
2485	51.1	Noten	0	0.08333333333333333
2311	51.1	gegen Schullnoten	0	0.08333333333333333
2379	51.1	gleiche note  agrumente	0	0.08333333333333333
2519	51.1	Freie Beurteilung	0	0.07692307692307693
2651	51.1	das Shüler ein	0	0.07692307692307693
2464	51.1	Noten abschaffen	1	0.07692307692307693
2401	51.1	Sie kritisiert	0	0.07692307692307693
2436	51.1	klassiche Noten notwendig	0	0.07692307692307693
2800	51.1	schwer zu sagen	0	0.07692307692307693
2647	51.1	Kritisiert Noten	0	0.07692307692307693
2769	51.1	Deutsche Lererin	0	0.07692307692307693
2798	51.1	Note	0	0.07692307692307693
2795	51.1	Schulnoten benotig	0	0.07692307692307693
2790	51.1	Noten soll ersetzen	0	0.07692307692307693
2751	51.1	Klassische Noten	0	0.07692307692307693
2309	51.1	sind wichtg	0	0.07692307692307693
2449	51.1	Berichte	0	0.07142857142857142
2399	51.1	N0ten Beurteilung	0	0.07142857142857142
2796	51.1	Fehlerbeurteilung	0	0.07142857142857142
2395	51.1	auf Noten zu vezichten	1	0.07142857142857142
2461	51.1	eine faire Beurteilung	0	0.07142857142857142
2380	51.1	faire Beurteilung ,	0	0.07142857142857142
2778	51.1	Die Note ist notwendig	0	0.07142857142857142
2373	51.1	Fördert der System	0	0.07142857142857142
2759	51.1	Fehler in dem Notensystem	0	0.07142857142857142
2516	51.1	Notin nich eefektiv	0	0.06666666666666667
2388	51.1	Kritiserung der Noten	0	0.06666666666666667
2692	51.1	Subjektiv	0	0.06666666666666667
2689	51.1	dismotivative Noten	0	0.06666666666666667
2488	51.1	Kritisch	0	0.06666666666666667
2761	51.1	Kritik	0	0.06666666666666667
2304	51.1	Nur Hinweisen bekommen	1	0.06666666666666667
2722	51.1	klassische Noten kritirieren	0	0.06666666666666667
2775	51.1	Keine Noten, sonst Hinweise	1	0.06666666666666667
2354	51.1	nicht nur Hinweis	0	0.0625
2320	51.1	#NAME?	1	0.0625
2782	51.1	Noten sind subjektiv	0	0.0625
2508	51.1	Something about Israel	0	0.0625
2738	51.1	subjektiv  demotivierend	0	0.058823529411764705
2543	51.1	Noten nicht mehr benutzen	1	0.058823529411764705
2726	51.1	Kritisiert die Noten System	0	0.058823529411764705
2648	51.1	Abschaffung der Noten	1	0.058823529411764705
2522	51.1	mithilfe des berichts	0	0.058823529411764705
2713	51.1	Gegen tradizionelle Noten	0	0.058823529411764705
2290	51.1	Ä	0	0.058823529411764705
2369	51.1	die Schulnoten sollen weg	1	0.058823529411764705
2367	51.1	hv2	0	0.058823529411764705
2659	51.1	Noten sind nicht nötig.	0	0.05555555555555555
2650	51.1	schriftliche Berichte	1	0.05555555555555555
2501	51.1	notsystem ist nicht genug	0	0.05555555555555555
2774	51.1	Kritisierung im Notensystem	0	0.05555555555555555
