Teilnehmer	AufgabeItem	Antwort	gesamt	morph_overlap
2289	50.1	Workshops	1	2.0
2438	50.1	Workshops	1	2.0
2461	50.1	Workshops	1	2.0
2456	50.1	Workshops	1	2.0
2454	50.1	Workshops	1	2.0
2449	50.1	Workshops	1	2.0
2447	50.1	Workshops	1	2.0
2445	50.1	Workshops	1	2.0
2443	50.1	Workshops	1	2.0
2442	50.1	Workshops	1	2.0
2437	50.1	Workshops	1	2.0
2751	50.1	Workshops	1	2.0
2435	50.1	Workshops	1	2.0
2656	50.1	Workshops	1	2.0
2433	50.1	Workshops	1	2.0
2395	50.1	Workshops	1	2.0
2741	50.1	Workshops	1	2.0
2742	50.1	Workshops	1	2.0
2388	50.1	Workshops	1	2.0
2747	50.1	Workshops	1	2.0
2462	50.1	die Workshops	1	2.0
2464	50.1	Workshops	1	2.0
2725	50.1	Workshops	1	2.0
2723	50.1	Workshops	1	2.0
2650	50.1	Workshops	1	2.0
2657	50.1	Workshops	1	2.0
2648	50.1	Workshops	1	2.0
2659	50.1	die Workshops	1	2.0
2682	50.1	Workshops	1	2.0
2536	50.1	Workshops	1	2.0
2534	50.1	Workshops	1	2.0
2524	50.1	Workshops	1	2.0
2523	50.1	Workshops	1	2.0
2697	50.1	Workshops	1	2.0
2706	50.1	Workshops	1	2.0
2509	50.1	die Workshops	1	2.0
2507	50.1	Workshops	1	2.0
2505	50.1	Workshops	1	2.0
2502	50.1	Workshops	1	2.0
2720	50.1	Workshops	1	2.0
2484	50.1	Workshops	1	2.0
2383	50.1	die Workshops	1	2.0
2434	50.1	Workshops	1	2.0
2376	50.1	Workshops	1	2.0
2761	50.1	Workshops	1	2.0
2302	50.1	Workshops	1	2.0
2304	50.1	die Workshops	1	2.0
2310	50.1	Workshops	1	2.0
2313	50.1	Workshops	1	2.0
2785	50.1	Workshops	1	2.0
2316	50.1	Workshops	1	2.0
2317	50.1	Workshops	1	2.0
2776	50.1	Workshops	1	2.0
2328	50.1	Workshops	1	2.0
2329	50.1	Workshops	1	2.0
2765	50.1	Workshops	1	2.0
2334	50.1	Workshops	1	2.0
2652	50.1	Workshops	1	2.0
2359	50.1	die Workshops	1	2.0
2361	50.1	die Workshops	1	2.0
2458	50.1	Workshop	1	1.9629629629629628
2375	50.1	Workshop	1	1.9629629629629628
2363	50.1	Workshop	1	1.9629629629629628
2497	50.1	Workshop	1	1.9629629629629628
2707	50.1	Workshop	1	1.9629629629629628
2736	50.1	Workshop	1	1.9629629629629628
2488	50.1	Workshop	1	1.9629629629629628
2368	50.1	Workshop	1	1.9629629629629628
2692	50.1	die Workshop	1	1.9629629629629628
2478	50.1	die Workshop	1	1.9629629629629628
2315	50.1	Workshop	1	1.9629629629629628
2732	50.1	Workshop	1	1.9629629629629628
2735	50.1	Workshop	1	1.9629629629629628
2797	50.1	Workshop	1	1.9629629629629628
2448	50.1	Workshop	1	1.9629629629629628
2658	50.1	Workshop	1	1.9629629629629628
2696	50.1	Works	0	0.0
2799	50.1	Programmierung	0	0.0
2745	50.1	Studenten	0	0.0
2798	50.1	Jobmesse	0	0.0
2786	50.1	workshop	1	0.0
2795	50.1	Programmierung	0	0.0
2790	50.1	1. Mai	0	0.0
2688	50.1	Jobmesse	0	0.0
2794	50.1	Worksh0p	1	0.0
2789	50.1	Veranstaltung	0	0.0
2748	50.1	öffene Veranstaltung	0	0.0
2691	50.1	die Messe	0	0.0
2752	50.1	jobmesse	0	0.0
2690	50.1	Jobmesse	0	0.0
2689	50.1	estes Mal	0	0.0
2758	50.1	In	0	0.0
2753	50.1	offene Veranstaltung	0	0.0
2709	50.1	Jobmesse	0	0.0
2712	50.1	worksh	0	0.0
2762	50.1	die Anmessung	0	0.0
2733	50.1	Jobmesse	0	0.0
2763	50.1	Studenten	0	0.0
2764	50.1	WORKSHOPS	1	0.0
2756	50.1	workschops	1	0.0
2737	50.1	workshop	1	0.0
2738	50.1	Programmieren	0	0.0
2729	50.1	beschränkte	0	0.0
2739	50.1	Bewerbungsfoto	0	0.0
2770	50.1	WORKSHOPS	1	0.0
2727	50.1	Ingenieure	0	0.0
2771	50.1	workshops	1	0.0
2773	50.1	ein Workschop	1	0.0
2750	50.1	Studenten	0	0.0
2779	50.1	offene Vera	0	0.0
2781	50.1	Öfenhearstadung	0	0.0
2783	50.1	workschops	1	0.0
2722	50.1	Jobmesser	0	0.0
2715	50.1	Workschop	1	0.0
2726	50.1	Energie Versorgung	0	0.0
2501	50.1	kaffe	0	0.0
2649	50.1	Workshps	1	0.0
2326	50.1	Jobmesse	0	0.0
2382	50.1	JOBMESSE	0	0.0
2380	50.1	Jobmesse	0	0.0
2378	50.1	workschop	1	0.0
2367	50.1	LV1	0	0.0
2362	50.1	Jobmesse	0	0.0
2360	50.1	Jobmesse	0	0.0
2354	50.1	Jobmesse	0	0.0
2347	50.1	Programmierer	0	0.0
2337	50.1	Jobmesse	0	0.0
2336	50.1	Jobmesse	0	0.0
2335	50.1	workshop	1	0.0
2331	50.1	Kaffee	0	0.0
2327	50.1	jobmesser	0	0.0
2322	50.1	Die Jobmesse	0	0.0
2385	50.1	Veranstaltung	0	0.0
2321	50.1	die Jobmesse	0	0.0
2320	50.1	Kaffe	0	0.0
2319	50.1	Workschops	1	0.0
2318	50.1	Sofie	0	0.0
2314	50.1	Jobmesse	0	0.0
2311	50.1	Jobmesse	0	0.0
2308	50.1	Jobmesse	0	0.0
2303	50.1	Inginieure	0	0.0
2298	50.1	offene Veranstatltung	0	0.0
2297	50.1	Studierenden	0	0.0
2295	50.1	Messe	0	0.0
2294	50.1	Jobmesse	0	0.0
2292	50.1	Programieren	0	0.0
2384	50.1	Veranstaltung	0	0.0
2390	50.1	jobmesse	0	0.0
2647	50.1	Sophie	0	0.0
2492	50.1	programieren	0	0.0
2543	50.1	Ingeniuersstelle	0	0.0
2538	50.1	workshops	1	0.0
2533	50.1	allen	0	0.0
2527	50.1	workschopps	1	0.0
2526	50.1	workshop	1	0.0
2525	50.1	Studenten	0	0.0
2521	50.1	Job Messe	0	0.0
2520	50.1	workshop	1	0.0
2519	50.1	jobmesse	0	0.0
2518	50.1	messe	0	0.0
2516	50.1	Wokshops	1	0.0
2506	50.1	workshop	1	0.0
2291	50.1	Ingenieure	0	0.0
2489	50.1	Ingenieure	0	0.0
2391	50.1	workshops	1	0.0
2487	50.1	Interessierte	0	0.0
2482	50.1	Messeplannung	0	0.0
2479	50.1	work shop	1	0.0
2477	50.1	Workshop-Messe	0	0.0
2457	50.1	Sophie	0	0.0
2451	50.1	Off	0	0.0
2446	50.1	Stidoe	0	0.0
2441	50.1	jobmesse	0	0.0
2440	50.1	veranstaltung	0	0.0
2436	50.1	Programmieren	0	0.0
2406	50.1	jobmesse	0	0.0
2405	50.1	die Jobmesse	0	0.0
2396	50.1	Workshop Perogrammiren	1	0.0
2800	50.1	Programmieren	0	0.0
