Teilnehmer	AufgabeItem	Antwort	gesamt	dist
2292	51.1	keine Noten zu geben	1	0.9500000000000001
2527	51.1	keine Noten erhalten	1	0.8774509803921569
2456	51.1	keine Noten nur Hinweise	1	0.8135620915032679
2453	51.1	keine Noten, Berichte über Leistungen	1	0.7703696343402227
2509	51.1	Keine Noten für Studenten.	1	0.7635207929325576
2775	51.1	Keine Noten, sonst Hinweise	1	0.7568731196182176
2294	51.1	neue Notensysteme	0	0.7344028520499108
2331	51.1	keine Noten geben, nur Hinweise, die die Menschen orientiren können, wo ihre Schwäche sich befinden  Entwicklungsgespräche	1	0.7131147540983607
2773	51.1	Schulern noten hängen ab vielen Faktoren	0	0.7007002801120447
2379	51.1	gleiche note  agrumente	0	0.6997180142960193
2713	51.1	Gegen tradizionelle Noten	0	0.6992717086834733
2396	51.1	Beurteilung nicht gegeben ist	0	0.6973341060562156
2789	51.1	keine Schulnoten für Schuler geben	1	0.6736694677871148
2461	51.1	eine faire Beurteilung	0	0.6671122994652406
2384	51.1	klasische Notengebung	0	0.6663793722617252
2443	51.1	keine Noten  nur Schriftlliche berichte und Hinweise an Lernende, wo sie sich verbessern können	1	0.6615325077399381
2483	51.1	die noten	0	0.6614923747276689
2725	51.1	Noten sind wenig vergleichbar,	0	0.6607843137254902
2460	51.1	keine bestimmte Note auch ohne Kommentar, nur im Form von einem Bericht	1	0.6596761944214306
2792	51.1	Einfluss der Noten für die Fähigkeit der Schüler	0	0.6574463118580766
2735	51.1	klassische Notengebung	0	0.6569998628822158
2751	51.1	Klassische Noten	0	0.6568627450980392
2770	51.1	Noten sind sehr vergleichbar	0	0.6554621848739496
2543	51.1	Noten nicht mehr benutzen	1	0.6516526610644258
2535	51.1	keine faire Beurteilung von Noten,die Noten sind nicht gleich	0	0.6511571841851495
2794	51.1	Notensystem komplett verzichten	1	0.6510971634311292
2374	51.1	wo konnen sie sich verbessern	0	0.649715058437168
2767	51.1	Die Noten nicht mehr verwenden	1	0.6443510737628384
2728	51.1	klassichen Notenabgebung nicht gut	0	0.6411764705882352
2722	51.1	klassische Noten kritirieren	0	0.6404330963154493
2755	51.1	Noe tsystem nicht gegeben ist.	0	0.6385620915032679
2497	51.1	kritische Notgebung für die Schüler  Schulnoten durch schriftliche Berichte ersetzen	1	0.6360877684407096
2538	51.1	Die Noten sind vergleichbar  Die Notegebung ist subjektiv.	0	0.6348461798512508
2436	51.1	klassiche Noten notwendig	0	0.6333634992458522
2759	51.1	Fehler in dem Notensystem	0	0.6333634992458522
2482	51.1	für die klassischen Notengebung	0	0.6331857474172464
2295	51.1	klassishchen Notgeben subjektiv sind	0	0.6330065359477124
2485	51.1	Noten	0	0.6313725490196078
2304	51.1	Nur Hinweisen bekommen	1	0.6313588372411901
2712	51.1	bildungs forscherin   dagegen die shulnoten ist	0	0.6291518243958795
2688	51.1	Note sind wenich vergleichen   Note sollen durch schriftliche Berichte sein	0	0.6274509803921569
2445	51.1	kritiesiert Noten	0	0.6254901960784314
2520	51.1	veie beurteilung	0	0.6232298474945533
2319	51.1	Fehlerbeurteilung der Notegebung	0	0.6210878582202112
2477	51.1	Ruckmeldung keine Noten   die Noten sind diemotievioetr	1	0.6190285204991087
2658	51.1	Die Noten sind nicht Vergleichbar.	0	0.6189542483660131
2446	51.1	Notensystem hat nicht gerechtiges Be	0	0.6184251478369126
2721	51.1	Noten durch Bespreschung gemessen	0	0.6169843228666758
2727	51.1	Hinweise geben, wo sie sich verbessern können	0	0.6163087457205104
2758	51.1	klassicche Notensystem hat sie in eigenem Buch kritisiert	0	0.6156260749914001
2753	51.1	Notensystem ist wenig Subjectiv	0	0.6155236288063612
2399	51.1	N0ten Beurteilung	0	0.6122004357298475
2519	51.1	Freie Beurteilung	0	0.6122004357298475
2778	51.1	Die Note ist notwendig	0	0.6115567439096852
2797	51.1	Durch Schulnote kann einen Studenten beurteilt werden	0	0.6106794919225552
2525	51.1	Schüler sollten keine Note bekommen, aber eine andere Antwort	1	0.6094905175184828
2362	51.1	noten sind nicht vergleichbar	0	0.6094554532688407
2371	51.1	subjektive Noten  schriftliche Berichte	0	0.6084536378654026
2696	51.1	Noten in der Schule sind wenig vergleichbar.	0	0.6077540106951872
2785	51.1	schriftliche Berichte erhalten	0	0.6071895424836602
2766	51.1	Die Noten sind nicht vergleichbar	0	0.6064001358119006
2368	51.1	Noten sind nicht entscheidene für Schüler	0	0.602616656418665
2747	51.1	"Kritik, keine Noten, ""wo kann ich mich verbessern"", entwlickung Gespräche um die schwache Punkten zu wissen"	1	0.6019791094007697
2322	51.1	Die Noten sind subjektiv. Die klasische Notengebung ist schlecht für die Shuler	0	0.6011417225117895
2328	51.1	Die Schulnoten subjektiv sind  neue Notensystem	0	0.6005006257822277
2334	51.1	Sie kritiesiert die Noten und glaubt, dass sie nicht suplektiv und ausreichend sind.	0	0.5968720821661998
2406	51.1	klassischen Notensystems sind nicht gut	0	0.5967823026646556
2739	51.1	nicht vergleich alle die Noten für Studenten	0	0.5948561242678889
