Teilnehmer	AufgabeItem	Antwort	gesamt	dist
2289	50.1	Workshops	1	1.0
2445	50.1	Workshops	1	1.0
2751	50.1	Workshops	1	1.0
2484	50.1	Workshops	1	1.0
2464	50.1	Workshops	1	1.0
2461	50.1	Workshops	1	1.0
2456	50.1	Workshops	1	1.0
2454	50.1	Workshops	1	1.0
2449	50.1	Workshops	1	1.0
2447	50.1	Workshops	1	1.0
2443	50.1	Workshops	1	1.0
2376	50.1	Workshops	1	1.0
2442	50.1	Workshops	1	1.0
2438	50.1	Workshops	1	1.0
2437	50.1	Workshops	1	1.0
2765	50.1	Workshops	1	1.0
2435	50.1	Workshops	1	1.0
2434	50.1	Workshops	1	1.0
2433	50.1	Workshops	1	1.0
2395	50.1	Workshops	1	1.0
2502	50.1	Workshops	1	1.0
2505	50.1	Workshops	1	1.0
2507	50.1	Workshops	1	1.0
2523	50.1	Workshops	1	1.0
2725	50.1	Workshops	1	1.0
2723	50.1	Workshops	1	1.0
2720	50.1	Workshops	1	1.0
2706	50.1	Workshops	1	1.0
2697	50.1	Workshops	1	1.0
2741	50.1	Workshops	1	1.0
2682	50.1	Workshops	1	1.0
2657	50.1	Workshops	1	1.0
2656	50.1	Workshops	1	1.0
2652	50.1	Workshops	1	1.0
2650	50.1	Workshops	1	1.0
2648	50.1	Workshops	1	1.0
2536	50.1	Workshops	1	1.0
2534	50.1	Workshops	1	1.0
2742	50.1	Workshops	1	1.0
2747	50.1	Workshops	1	1.0
2524	50.1	Workshops	1	1.0
2388	50.1	Workshops	1	1.0
2761	50.1	Workshops	1	1.0
2776	50.1	Workshops	1	1.0
2302	50.1	Workshops	1	1.0
2317	50.1	Workshops	1	1.0
2328	50.1	Workshops	1	1.0
2329	50.1	Workshops	1	1.0
2334	50.1	Workshops	1	1.0
2316	50.1	Workshops	1	1.0
2313	50.1	Workshops	1	1.0
2310	50.1	Workshops	1	1.0
2785	50.1	Workshops	1	1.0
2319	50.1	Workschops	1	0.9666666666666667
2375	50.1	Workshop	1	0.9629629629629629
2497	50.1	Workshop	1	0.9629629629629629
2488	50.1	Workshop	1	0.9629629629629629
2516	50.1	Wokshops	1	0.9629629629629629
2732	50.1	Workshop	1	0.9629629629629629
2458	50.1	Workshop	1	0.9629629629629629
2736	50.1	Workshop	1	0.9629629629629629
2707	50.1	Workshop	1	0.9629629629629629
2448	50.1	Workshop	1	0.9629629629629629
2315	50.1	Workshop	1	0.9629629629629629
2797	50.1	Workshop	1	0.9629629629629629
2735	50.1	Workshop	1	0.9629629629629629
2649	50.1	Workshps	1	0.9629629629629629
2368	50.1	Workshop	1	0.9629629629629629
2363	50.1	Workshop	1	0.9629629629629629
2658	50.1	Workshop	1	0.9629629629629629
2538	50.1	workshops	1	0.9259259259259259
2771	50.1	workshops	1	0.9259259259259259
2715	50.1	Workschop	1	0.9259259259259259
2391	50.1	workshops	1	0.9259259259259259
2361	50.1	die Workshops	1	0.8974358974358975
2659	50.1	die Workshops	1	0.8974358974358975
2383	50.1	die Workshops	1	0.8974358974358975
2359	50.1	die Workshops	1	0.8974358974358975
2304	50.1	die Workshops	1	0.8974358974358975
2509	50.1	die Workshops	1	0.8974358974358975
2462	50.1	die Workshops	1	0.8974358974358975
2783	50.1	workschops	1	0.8962962962962964
2756	50.1	workschops	1	0.8962962962962964
2526	50.1	workshop	1	0.8842592592592592
2737	50.1	workshop	1	0.8842592592592592
2786	50.1	workshop	1	0.8842592592592592
2520	50.1	workshop	1	0.8842592592592592
2794	50.1	Worksh0p	1	0.8842592592592592
2506	50.1	workshop	1	0.8842592592592592
2335	50.1	workshop	1	0.8842592592592592
2477	50.1	Workshop-Messe	0	0.8809523809523809
2527	50.1	workschopps	1	0.872053872053872
2378	50.1	workschop	1	0.8518518518518517
2696	50.1	Works	0	0.8518518518518517
2692	50.1	die Workshop	1	0.8518518518518517
2478	50.1	die Workshop	1	0.8518518518518517
2479	50.1	work shop	1	0.8518518518518517
2773	50.1	ein Workschop	1	0.8347578347578347
2712	50.1	worksh	0	0.7962962962962963
2396	50.1	Workshop Perogrammiren	1	0.7508417508417509
2709	50.1	Jobmesse	0	0.5694444444444444
2406	50.1	jobmesse	0	0.5694444444444444
2311	50.1	Jobmesse	0	0.5694444444444444
2390	50.1	jobmesse	0	0.5694444444444444
2294	50.1	Jobmesse	0	0.5694444444444444
2798	50.1	Jobmesse	0	0.5694444444444444
2733	50.1	Jobmesse	0	0.5694444444444444
2690	50.1	Jobmesse	0	0.5694444444444444
2688	50.1	Jobmesse	0	0.5694444444444444
2362	50.1	Jobmesse	0	0.5694444444444444
2360	50.1	Jobmesse	0	0.5694444444444444
2441	50.1	jobmesse	0	0.5694444444444444
2326	50.1	Jobmesse	0	0.5694444444444444
2354	50.1	Jobmesse	0	0.5694444444444444
2314	50.1	Jobmesse	0	0.5694444444444444
2380	50.1	Jobmesse	0	0.5694444444444444
2752	50.1	jobmesse	0	0.5694444444444444
2519	50.1	jobmesse	0	0.5694444444444444
2337	50.1	Jobmesse	0	0.5694444444444444
2336	50.1	Jobmesse	0	0.5694444444444444
2308	50.1	Jobmesse	0	0.5694444444444444
2327	50.1	jobmesser	0	0.5555555555555555
2521	50.1	Job Messe	0	0.5555555555555555
2722	50.1	Jobmesser	0	0.5555555555555555
2405	50.1	die Jobmesse	0	0.5277777777777778
2321	50.1	die Jobmesse	0	0.5277777777777778
2322	50.1	Die Jobmesse	0	0.5277777777777778
2487	50.1	Interessierte	0	0.5213675213675214
2647	50.1	Sophie	0	0.5185185185185185
2457	50.1	Sophie	0	0.5185185185185185
2739	50.1	Bewerbungsfoto	0	0.5158730158730158
2543	50.1	Ingeniuersstelle	0	0.5069444444444444
2726	50.1	Energie Versorgung	0	0.5
2753	50.1	offene Veranstaltung	0	0.49444444444444446
2298	50.1	offene Veranstatltung	0	0.4920634920634921
2691	50.1	die Messe	0	0.48148148148148145
2789	50.1	Veranstaltung	0	0.4586894586894587
2440	50.1	veranstaltung	0	0.4586894586894587
2385	50.1	Veranstaltung	0	0.4586894586894587
