Teilnehmer	AufgabeItem	Antwort	gesamt	jwdist
2292	51.1	keine Noten zu geben	1	0.8975
2527	51.1	keine Noten erhalten	1	0.8578571428571429
2456	51.1	keine Noten nur Hinweise	1	0.8202380952380953
2384	51.1	klasische Notengebung	0	0.8063873626373627
2735	51.1	klassische Notengebung	0	0.7979458041958043
2728	51.1	klassichen Notenabgebung nicht gut	0	0.7736029411764704
2483	51.1	die noten	0	0.7129629629629629
2295	51.1	klassishchen Notgeben subjektiv sind	0	0.6958333333333333
2304	51.1	Nur Hinweisen bekommen	1	0.6818181818181818
2713	51.1	Gegen tradizionelle Noten	0	0.6749358974358973
2379	51.1	gleiche note  agrumente	0	0.6739130434782609
2378	51.1	gleich Notte	0	0.6736111111111112
2509	51.1	Keine Noten für Studenten.	1	0.6682692307692308
2406	51.1	klassischen Notensystems sind nicht gut	0	0.6639957264957265
2755	51.1	Noe tsystem nicht gegeben ist.	0	0.6615079365079365
2369	51.1	die Schulnoten sollen weg	1	0.66
2725	51.1	Noten sind wenig vergleichbar,	0	0.6569444444444444
2722	51.1	klassische Noten kritirieren	0	0.6563644688644689
2436	51.1	klassiche Noten notwendig	0	0.6492948717948718
2779	51.1	nue Notesystem	0	0.6488095238095238
2477	51.1	Ruckmeldung keine Noten   die Noten sind diemotievioetr	1	0.6478535353535353
2497	51.1	kritische Notgebung für die Schüler  Schulnoten durch schriftliche Berichte ersetzen	1	0.6468253968253969
2543	51.1	Noten nicht mehr benutzen	1	0.645
2535	51.1	keine faire Beurteilung von Noten,die Noten sind nicht gleich	0	0.6389116575591985
2738	51.1	subjektiv  demotivierend	0	0.6388888888888888
2461	51.1	eine faire Beurteilung	0	0.6382575757575758
2485	51.1	Noten	0	0.6375000000000001
2775	51.1	Keine Noten, sonst Hinweise	1	0.6364553656220323
2516	51.1	Notin nich eefektiv	0	0.6342703349282296
2790	51.1	Noten soll ersetzen	0	0.6342703349282296
2753	51.1	Notensystem ist wenig Subjectiv	0	0.6326804915514593
2453	51.1	keine Noten, Berichte über Leistungen	1	0.6320785070785071
2723	51.1	Keine Noten sondern nur Punken wo man sich verbesseren soll.	0	0.6313492063492063
2789	51.1	keine Schulnoten für Schuler geben	1	0.629053544494721
2460	51.1	keine bestimmte Note auch ohne Kommentar, nur im Form von einem Bericht	1	0.627366979655712
2778	51.1	Die Note ist notwendig	0	0.6262626262626263
2362	51.1	noten sind nicht vergleichbar	0	0.6253868258178603
2329	51.1	Die Noten sind sehr subjektiv	0	0.6253868258178603
2396	51.1	Beurteilung nicht gegeben ist	0	0.6253868258178603
2374	51.1	wo konnen sie sich verbessern	0	0.6253868258178603
2770	51.1	Noten sind sehr vergleichbar	0	0.625
2766	51.1	Die Noten sind nicht vergleichbar	0	0.6235569985569985
2446	51.1	Notensystem hat nicht gerechtiges Be	0	0.6219729344729344
2385	51.1	Die Schulnoten sind subjektiv und vergleichbar	0	0.6214464882943144
2767	51.1	Die Noten nicht mehr verwenden	1	0.6204059829059829
2652	51.1	Sie kritisiert klassiche Noten	0	0.6194444444444445
2658	51.1	Die Noten sind nicht Vergleichbar.	0	0.6193977591036414
2787	51.1	die Noten sind subjektiv,  nicht vergleichbar,  kann demotiviert sein	0	0.6189613526570048
2750	51.1	fair beurteilung  subjektive noten	0	0.6176470588235294
2454	51.1	die Schulnoten ersetzen  die Ferien beurteilen	0	0.6147342995169082
2458	51.1	Die Schulnoten sollen ausgelassen werden	1	0.6099358974358974
2783	51.1	Sie kritisiert Schulnoten	0	0.6083333333333333
2376	51.1	Sinn oder Unsinn?  Wenig Vergleichbar	0	0.6081081081081081
2314	51.1	kritisiert die klassischen Noten in der Schule	0	0.6074016563146998
2331	51.1	keine Noten geben, nur Hinweise, die die Menschen orientiren können, wo ihre Schwäche sich befinden  Entwicklungsgespräche	1	0.6062158469945355
2328	51.1	Die Schulnoten subjektiv sind  neue Notensystem	0	0.6052431610942249
2334	51.1	Sie kritiesiert die Noten und glaubt, dass sie nicht suplektiv und ausreichend sind.	0	0.6051587301587301
2759	51.1	Fehler in dem Notensystem	0	0.6044444444444445
2294	51.1	neue Notensysteme	0	0.6044117647058824
2445	51.1	kritiesiert Noten	0	0.6044117647058824
2689	51.1	dismotivative Noten	0	0.6019736842105263
2732	51.1	Noten sind subjektiv  Schüler mit gleiche Leistungen haben nicht die gleiche Note bekommen	0	0.600925925925926
2659	51.1	Noten sind nicht nötig.	0	0.6007081686429512
2758	51.1	klassicche Notensystem hat sie in eigenem Buch kritisiert	0	0.600219298245614
2515	51.1	nichtvergleichbare Note muss man die Schüler geben	0	0.5992857142857143
2682	51.1	Sie kulitisiert Schulnoten.	0	0.5984567901234569
2504	51.1	Noten sind unterschiedlich	0	0.5982905982905984
2520	51.1	veie beurteilung	0	0.5972222222222222
2319	51.1	Fehlerbeurteilung der Notegebung	0	0.5972222222222222
2523	51.1	Die Noten sind subjektiv  Schulnoten durch Berichte ersetzen	1	0.5958333333333333
2321	51.1	Die Noten sind nicht objektiv. Wenn es um Einschätzung geht, kommen die gleiche Noten nicht heraus.	0	0.5955387205387205
2525	51.1	Schüler sollten keine Note bekommen, aber eine andere Antwort	1	0.5944672131147541
2782	51.1	Noten sind subjektiv	0	0.5943181818181819
2349	51.1	Die Schulnoten sind sinnlos.	0	0.594047619047619
2507	51.1	Sie denkt, dass die klassiche Noteumbegung nicht relevant ist.    Staat Noten, unterstüzt sie Hinweise	1	0.5939542483660131
2774	51.1	Kritisierung im Notensystem	0	0.5925925925925926
2736	51.1	Die schulnoten demotivieren die Schulern..aus der Forschung in	0	0.5922939068100358
2291	51.1	Sie kritisiert die Schulnoten	0	0.5899425287356322
2478	51.1	Die Schulnoten sind unnotwendig	0	0.5898704789833823
2309	51.1	sind wichtg	0	0.5890151515151515
2322	51.1	Die Noten sind subjektiv. Die klasische Notengebung ist schlecht für die Shuler	0	0.5883438818565401
2696	51.1	Noten in der Schule sind wenig vergleichbar.	0	0.5882034632034632
2310	51.1	Sie kritisiert die klassische Notengebung;  Die noten sollen von zum Beispiel Entwicklungsgespräche ersetzt werden.	1	0.5880434782608696
2501	51.1	notsystem ist nicht genug	0	0.5879545454545454
