	Teilnehmer	AufgabeItem	Antwort	gesamt	dist
2	2292	51.1	keine Noten zu geben	1	0.9794500133185504
123	2527	51.1	keine Noten erhalten	1	0.9372548882024525
81	2456	51.1	keine Noten nur Hinweise	1	0.8813458178336576
199	2775	51.1	Keine Noten, sonst Hinweise	1	0.872602390123773
113	2509	51.1	Keine Noten für Studenten.	1	0.8005973425313617
208	2789	51.1	keine Schulnoten für Schuler geben	1	0.7700601651317576
92	2477	51.1	Ruckmeldung keine Noten   die Noten sind diemotievioetr	1	0.770023481412306
98	2485	51.1	Noten	0	0.755701851231618
205	2784	51.1	Noten in der Schule sind nicht notwendich	0	0.7352749472751279
121	2524	51.1	Nöten sollen nicht die Haupt  Keine Noten, sonder Hinweisen	1	0.7312302108058766
79	2453	51.1	keine Noten, Berichte über Leistungen	1	0.726611224035286
139	2659	51.1	Noten sind nicht nötig.	0	0.7197571482064914
129	2543	51.1	Noten nicht mehr benutzen	1	0.6984013138159537
143	2689	51.1	dismotivative Noten	0	0.6877437883668384
96	2483	51.1	die noten	0	0.6865402435072444
72	2445	51.1	kritiesiert Noten	0	0.6858626280519844
193	2767	51.1	Die Noten nicht mehr verwenden	1	0.6804906689831348
88	2464	51.1	Noten abschaffen	1	0.6791227109734046
38	2368	51.1	Noten sind nicht entscheidene für Schüler	0	0.6691638673283123
126	2535	51.1	keine faire Beurteilung von Noten,die Noten sind nicht gleich	0	0.6603421910818855
108	2504	51.1	Noten sind unterschiedlich	0	0.6593131600024373
216	2798	51.1	Note	0	0.6575064056848423
29	2347	51.1	Noten soolen nicht in Schulen bleiben	1	0.6548787213202857
53	2395	51.1	auf Noten zu vezichten	1	0.6531114094340049
130	2647	51.1	Kritisiert Noten	0	0.6492247304178586
157	2723	51.1	Keine Noten sondern nur Punken wo man sich verbesseren soll.	0	0.6383791207196605
70	2443	51.1	keine Noten  nur Schriftlliche berichte und Hinweise an Lernende, wo sie sich verbessern können	1	0.6353181156381941
35	2362	51.1	noten sind nicht vergleichbar	0	0.6346972117849448
192	2766	51.1	Die Noten sind nicht vergleichbar	0	0.6270859166869315
131	2648	51.1	Abschaffung der Noten	1	0.6240405714804713
212	2794	51.1	Notensystem komplett verzichten	1	0.6197011448600277
209	2790	51.1	Noten soll ersetzen	0	0.6192885075548002
93	2478	51.1	Die Schulnoten sind unnotwendig	0	0.6177678770904301
64	2437	51.1	Schulnote ist nicht sinnig	0	0.6170249560872659
122	2525	51.1	Schüler sollten keine Note bekommen, aber eine andere Antwort	1	0.6106456657685847
50	2388	51.1	Kritiserung der Noten	0	0.6086130968888703
31	2354	51.1	nicht nur Hinweis	0	0.6035198712204493
85	2460	51.1	keine bestimmte Note auch ohne Kommentar, nur im Form von einem Bericht	1	0.6011051577632298
73	2446	51.1	Notensystem hat nicht gerechtiges Be	0	0.596387950138299
203	2782	51.1	Noten sind subjektiv	0	0.5946118053589017
201	2779	51.1	nue Notesystem	0	0.588853541657953
39	2369	51.1	die Schulnoten sollen weg	1	0.5848766376481315
114	2515	51.1	nichtvergleichbare Note muss man die Schüler geben	0	0.584760095473964
132	2649	51.1	Die Schüler sollten keine konkreten Noten, sondern nur Kommentar bekommen	1	0.5831609098941681
25	2331	51.1	keine Noten geben, nur Hinweise, die die Menschen orientiren können, wo ihre Schwäche sich befinden  Entwicklungsgespräche	1	0.5824481679058263
158	2725	51.1	Noten sind wenig vergleichbar,	0	0.5792834172921699
138	2658	51.1	Die Noten sind nicht Vergleichbar.	0	0.5763194273236856
161	2728	51.1	klassichen Notenabgebung nicht gut	0	0.5746928115085621
169	2739	51.1	nicht vergleich alle die Noten für Studenten	0	0.5729217958723063
128	2542	51.1	Noten system	0	0.5582046172860444
75	2448	51.1	Sie hält die Noten für unsinvoll	0	0.5579611817414865
46	2379	51.1	gleiche note  agrumente	0	0.5565077677573328
200	2778	51.1	Die Note ist notwendig	0	0.5559405207984053
163	2732	51.1	Noten sind subjektiv  Schüler mit gleiche Leistungen haben nicht die gleiche Note bekommen	0	0.5557461189468798
170	2740	51.1	Noten system ist schlecht	0	0.5555663201063636
65	2438	51.1	durch Noten keine faire Beurteilung  keine Kombination aus Noten und Kommentaren  Noten ersetzen z.B. durch Berichte	1	0.5536615334081301
54	2396	51.1	Beurteilung nicht gegeben ist	0	0.5501352773603825
116	2518	51.1	die Noten sollrn durch etwas anders ersetz werden	1	0.5500635748396806
60	2433	51.1	Statt Noten, den Schuler schriftliche Berichten geben	1	0.5486172431559863
136	2656	51.1	Schulnoten sind nicht gut für schülern	0	0.5474362156960804
182	2753	51.1	Notensystem ist wenig Subjectiv	0	0.5462612227361753
156	2722	51.1	klassische Noten kritirieren	0	0.5447604298101489
189	2763	51.1	Noten sind subjektiv  sie ist dagegen	0	0.5446940684558519
152	2713	51.1	Gegen tradizionelle Noten	0	0.5439386787701312
141	2685	51.1	Noten nötig  schriftlicher Bericht	0	0.5427919569399389
82	2457	51.1	Noten sind als etwas subjektives betrachtet und manchmal hinwesein eigentlich nicht die Fähigkeiten des Lernendes	0	0.535695172840063
181	2752	51.1	Noten muss nicht aufgegeben haben werdern.   Studenten sollen verscheidene Methoden  nutzen können	0	0.5313077062528795
59	2406	51.1	klassischen Notensystems sind nicht gut	0	0.5312089393476604
180	2751	51.1	Klassische Noten	0	0.5277025821203577
165	2735	51.1	klassische Notengebung	0	0.5218347246603101
61	2434	51.1	Noten sollen mit schriftliche Berichte ersetzt werdem	1	0.5198514864526005
213	2795	51.1	Schulnoten benotig	0	0.5195235549316443
187	2760	51.1	Noten als Vergleichkreterium lassen	0	0.5185677475612228
63	2436	51.1	klassiche Noten notwendig	0	0.5164880896854687
115	2516	51.1	Notin nich eefektiv	0	0.5140768311588577
195	2770	51.1	Noten sind sehr vergleichbar	0	0.5126358899181381
3	2294	51.1	neue Notensysteme	0	0.5114470491361296
36	2363	51.1	Notesystem	0	0.5105483290388878
153	2715	51.1	notensystem  korretur nicht gleich	0	0.5095526026246798
13	2313	51.1	kritisieret die klassische Notensystem  Note demotivieren den Shülern  schriftliche Berichte anstatt Noten	1	0.507072699073948
30	2349	51.1	Die Schulnoten sind sinnlos.	0	0.5065660061931793
155	2721	51.1	Noten durch Bespreschung gemessen	0	0.5015501679977656
197	2773	51.1	Schulern noten hängen ab vielen Faktoren	0	0.4975042934275917
97	2484	51.1	Schulnoten sind zu subjektive und manchmal gleiche studenten bekommen die gleiche Note nicht.	0	0.4961307166763447
107	2503	51.1	noten spiegeln nicht immer das was schüler können	0	0.4956784070056268
207	2787	51.1	die Noten sind subjektiv,  nicht vergleichbar,  kann demotiviert sein	0	0.49556971783546266
83	2458	51.1	Die Schulnoten sollen ausgelassen werden	1	0.4954420870585844
24	2329	51.1	Die Noten sind sehr subjektiv	0	0.4907780505623771
159	2726	51.1	Kritisiert die Noten System	0	0.4898846641038852
154	2720	51.1	Kritisiert den Schulnoten	0	0.48859772361037324
20	2321	51.1	Die Noten sind nicht objektiv. Wenn es um Einschätzung geht, kommen die gleiche Noten nicht heraus.	0	0.4885573454743428
191	2765	51.1	Die Noten sind sinnloss. Die Noten müssen durch Beschprechungen entsetzt werden	1	0.48807036847336427
33	2360	51.1	notesystem	0	0.48538487433855515
183	2755	51.1	Noe tsystem nicht gegeben ist.	0	0.4840257525257847
147	2696	51.1	Noten in der Schule sind wenig vergleichbar.	0	0.4816783709814706
135	2652	51.1	Sie kritisiert klassiche Noten	0	0.4782390439164441
95	2482	51.1	für die klassischen Notengebung	0	0.47677136856326996
186	2759	51.1	Fehler in dem Notensystem	0	0.47229708302031337
111	2507	51.1	Sie denkt, dass die klassiche Noteumbegung nicht relevant ist.    Staat Noten, unterstüzt sie Hinweise	1	0.46468100007244795
67	2440	51.1	beurbteilung der noten . Studenten können nicht in welche gebiet Problem haben	0	0.4642073756823626
9	2304	51.1	Nur Hinweisen bekommen	1	0.46418591279806276
104	2499	51.1	Kritiesirung der klassischen Noten	0	0.4641642476858583
55	2399	51.1	N0ten Beurteilung	0	0.46376972953172
48	2384	51.1	klasische Notengebung	0	0.45937155205651903
149	2706	51.1	faire Beurteilung felht  die Noten demotivieren die Schüler	0	0.4585103100680671
16	2317	51.1	Kritik auf die klassische Notengebung	0	0.45824563779652805
198	2774	51.1	Kritisierung im Notensystem	0	0.45781214250683044
40	2371	51.1	subjektive Noten  schriftliche Berichte	0	0.4567739721383597
177	2748	51.1	Notensystem subjektiv ist	0	0.4554574317588588
21	2322	51.1	Die Noten sind subjektiv. Die klasische Notengebung ist schlecht für die Shuler	0	0.45522580545608515
144	2690	51.1	Das Notensystem ist unfair.	0	0.45097102591232874
204	2783	51.1	Sie kritisiert Schulnoten	0	0.4488480193493607
210	2791	51.1	kritisiert klassische Notebuch	0	0.44825569326384296
78	2452	51.1	faire Noten geben  durch schriftl Berichte ersetzt werden müssen	1	0.44561484305066146
167	2737	51.1	noten system vergleincehn wenig.  korrektur funktioniert nicht glecih fur jede schuler	0	0.4428587059975937
171	2741	51.1	faire Beurteiling durch verschiedene lehrer  Dass Note	0	0.43898632466068854
142	2688	51.1	Note sind wenich vergleichen   Note sollen durch schriftliche Berichte sein	0	0.4372420881278509
18	2319	51.1	Fehlerbeurteilung der Notegebung	0	0.4366493958404343
1	2291	51.1	Sie kritisiert die Schulnoten	0	0.4362248284688257
43	2375	51.1	Schulnoten - Sinn oder Unsinn ?  Kritirierung über die klassischen Noten	0	0.4327283427387537
