	Teilnehmer	AufgabeItem	Antwort	gesamt	Workshops_dist
52	2395	50.1	Workshops	1	0.9999999999999787
157	2761	50.1	Workshops	1	0.9999999999999787
76	2461	50.1	Workshops	1	0.9999999999999787
28	2334	50.1	Workshops	1	0.9999999999999787
73	2456	50.1	Workshops	1	0.9999999999999787
72	2454	50.1	Workshops	1	0.9999999999999787
106	2534	50.1	Workshops	1	0.9999999999999787
114	2652	50.1	Workshops	1	0.9999999999999787
116	2657	50.1	Workshops	1	0.9999999999999787
61	2438	50.1	Workshops	1	0.9999999999999787
134	2723	50.1	Workshops	1	0.9999999999999787
135	2725	50.1	Workshops	1	0.9999999999999787
64	2442	50.1	Workshops	1	0.9999999999999639
65	2443	50.1	Workshops	1	0.9999999999999639
83	2484	50.1	Workshops	1	0.9999999999999639
66	2445	50.1	Workshops	1	0.9999999999999639
60	2437	50.1	Workshops	1	0.9999999999999639
165	2776	50.1	Workshops	1	0.9999999999999639
68	2447	50.1	Workshops	1	0.9999999999999639
70	2449	50.1	Workshops	1	0.9999999999999639
58	2435	50.1	Workshops	1	0.9999999999999639
57	2434	50.1	Workshops	1	0.9999999999999639
56	2433	50.1	Workshops	1	0.9999999999999639
78	2464	50.1	Workshops	1	0.9999999999999639
0	2289	50.1	Workshops	1	0.9999999999999639
161	2765	50.1	Workshops	1	0.9999999999999639
90	2502	50.1	Workshops	1	0.9999999999999639
147	2742	50.1	Workshops	1	0.9999999999999639
146	2741	50.1	Workshops	1	0.9999999999999639
152	2751	50.1	Workshops	1	0.9999999999999639
132	2720	50.1	Workshops	1	0.9999999999999639
127	2706	50.1	Workshops	1	0.9999999999999639
126	2697	50.1	Workshops	1	0.9999999999999639
119	2682	50.1	Workshops	1	0.9999999999999639
115	2656	50.1	Workshops	1	0.9999999999999639
113	2650	50.1	Workshops	1	0.9999999999999639
111	2648	50.1	Workshops	1	0.9999999999999639
107	2536	50.1	Workshops	1	0.9999999999999639
101	2524	50.1	Workshops	1	0.9999999999999639
100	2523	50.1	Workshops	1	0.9999999999999639
49	2388	50.1	Workshops	1	0.9999999999999639
91	2505	50.1	Workshops	1	0.9999999999999639
93	2507	50.1	Workshops	1	0.9999999999999639
149	2747	50.1	Workshops	1	0.9999999999999639
11	2310	50.1	Workshops	1	0.9999999999999639
26	2329	50.1	Workshops	1	0.9999999999999639
17	2317	50.1	Workshops	1	0.9999999999999639
13	2313	50.1	Workshops	1	0.9999999999999639
169	2785	50.1	Workshops	1	0.9999999999999639
25	2328	50.1	Workshops	1	0.9999999999999639
42	2376	50.1	Workshops	1	0.9999999999999639
7	2302	50.1	Workshops	1	0.9999999999999639
16	2316	50.1	Workshops	1	0.9999999999999639
41	2375	50.1	Workshop	1	0.9611962226218396
117	2658	50.1	Workshop	1	0.9611962226218396
40	2368	50.1	Workshop	1	0.9611962226218396
75	2458	50.1	Workshop	1	0.9611962226218396
139	2732	50.1	Workshop	1	0.9611962223931758
141	2735	50.1	Workshop	1	0.9611962223931758
85	2488	50.1	Workshop	1	0.9611962223931758
88	2497	50.1	Workshop	1	0.9611962223931758
142	2736	50.1	Workshop	1	0.9611962223931758
69	2448	50.1	Workshop	1	0.9611962223931758
38	2363	50.1	Workshop	1	0.9611962223931758
128	2707	50.1	Workshop	1	0.9611962223931758
15	2315	50.1	Workshop	1	0.9611962223931758
175	2797	50.1	Workshop	1	0.9611962223931758
34	2359	50.1	die Workshops	1	0.9587703766996452
94	2509	50.1	die Workshops	1	0.9587703766996452
9	2304	50.1	die Workshops	1	0.9587703766996452
46	2383	50.1	die Workshops	1	0.9587703766996452
36	2361	50.1	die Workshops	1	0.9587703731519188
118	2659	50.1	die Workshops	1	0.9587703731519188
77	2462	50.1	die Workshops	1	0.9587703731519188
163	2771	50.1	workshops	1	0.9406692932972438
51	2391	50.1	workshops	1	0.9406692932972438
108	2538	50.1	workshops	1	0.9406692880444281
124	2692	50.1	die Workshop	1	0.9214021560587412
80	2478	50.1	die Workshop	1	0.9214021560587412
92	2506	50.1	workshop	1	0.9196507461335517
170	2786	50.1	workshop	1	0.9196507461335517
98	2520	50.1	workshop	1	0.9196507368437868
103	2526	50.1	workshop	1	0.9196507368437868
29	2335	50.1	workshop	1	0.9196507368437868
143	2737	50.1	workshop	1	0.9196507368437868
81	2479	50.1	work shop	1	0.7548045299941348
79	2477	50.1	Workshop-Messe	0	0.7459325328908305
53	2396	50.1	Workshop Perogrammiren	1	0.743957815917234
19	2319	50.1	Workschops	1	0.7344016535475649
112	2649	50.1	Workshps	1	0.7299474817149406
125	2696	50.1	Works	0	0.7207435602220398
33	2354	50.1	Jobmesse	0	0.689643414295551
3	2294	50.1	Jobmesse	0	0.689643414295551
176	2798	50.1	Jobmesse	0	0.689643414295551
140	2733	50.1	Jobmesse	0	0.6896434121255668
120	2688	50.1	Jobmesse	0	0.6896434121255668
129	2709	50.1	Jobmesse	0	0.6896434121255668
14	2314	50.1	Jobmesse	0	0.6896434121255668
12	2311	50.1	Jobmesse	0	0.6896434121255668
10	2308	50.1	Jobmesse	0	0.6896434121255668
122	2690	50.1	Jobmesse	0	0.6896434121255668
44	2380	50.1	Jobmesse	0	0.6896434121255668
35	2360	50.1	Jobmesse	0	0.6896434121255668
37	2362	50.1	Jobmesse	0	0.6896434121255668
31	2337	50.1	Jobmesse	0	0.6896434121255668
30	2336	50.1	Jobmesse	0	0.6896434121255668
23	2326	50.1	Jobmesse	0	0.6896434121255668
22	2322	50.1	Die Jobmesse	0	0.6887703401643268
99	2521	50.1	Job Messe	0	0.6730010296705096
50	2390	50.1	jobmesse	0	0.6697151263801508
55	2406	50.1	jobmesse	0	0.6697151263801508
153	2752	50.1	jobmesse	0	0.6697151263801508
63	2441	50.1	jobmesse	0	0.6697151263801508
97	2519	50.1	jobmesse	0	0.6697151263801508
131	2715	50.1	Workschop	1	0.6599277005214641
168	2783	50.1	workschops	1	0.645367955643893
155	2756	50.1	workschops	1	0.6453679482235052
162	2770	50.1	WORKSHOPS	1	0.6429917166222628
160	2764	50.1	WORKSHOPS	1	0.6429917166222628
104	2527	50.1	workschopps	1	0.6403650393578882
21	2321	50.1	die Jobmesse	0	0.6267849949823107
54	2405	50.1	die Jobmesse	0	0.6267849949823107
109	2543	50.1	Ingeniuersstelle	0	0.6075497054624868
133	2722	50.1	Jobmesser	0	0.5985025328149273
24	2327	50.1	jobmesser	0	0.5921273527495675
130	2712	50.1	worksh	0	0.5679075076259413
43	2378	50.1	workschop	1	0.5656375100943963
4	2295	50.1	Messe	0	0.5500060681109841
95	2516	50.1	Wokshops	1	0.5365629962827502
173	2794	50.1	Worksh0p	1	0.5296716031989672
5	2297	50.1	Studierenden	0	0.5292066042747612
96	2518	50.1	messe	0	0.5023281113364243
123	2691	50.1	die Messe	0	0.5016529136428133
159	2763	50.1	Studenten	0	0.4844048875271725
151	2750	50.1	Studenten	0	0.4844048744514271
148	2745	50.1	Studenten	0	0.4844048744514271
102	2525	50.1	Studenten	0	0.4844048744514271
48	2385	50.1	Veranstaltung	0	0.47421866794703704
171	2789	50.1	Veranstaltung	0	0.47421865561683496
47	2384	50.1	Veranstaltung	0	0.47421865561683496
82	2482	50.1	Messeplannung	0	0.45887902129923996
62	2440	50.1	veranstaltung	0	0.45276411358149726
164	2773	50.1	ein Workschop	1	0.45179103225313166
137	2727	50.1	Ingenieure	0	0.44765288849894813
86	2489	50.1	Ingenieure	0	0.44765288849894813
1	2291	50.1	Ingenieure	0	0.44765288849894813
167	2781	50.1	Öfenhearstadung	0	0.4343887099526976
2	2292	50.1	Programieren	0	0.42526637700262737
150	2748	50.1	öffene Veranstaltung	0	0.42057950169289837
59	2436	50.1	Programmieren	0	0.4178342695100915
178	2800	50.1	Programmieren	0	0.417834256910417
144	2738	50.1	Programmieren	0	0.417834256910417
87	2492	50.1	programieren	0	0.41015225710273673
67	2446	50.1	Stidoe	0	0.39198680084384674
45	2382	50.1	JOBMESSE	0	0.3912311547137952
32	2347	50.1	Programmierer	0	0.3909144107660949
177	2799	50.1	Programmierung	0	0.390535904416062
174	2795	50.1	Programmierung	0	0.390535904416062
8	2303	50.1	Inginieure	0	0.3775099937213625
154	2753	50.1	offene Veranstaltung	0	0.3760921633221166
105	2533	50.1	allen	0	0.36995673459964107
156	2758	50.1	In	0	0.36776299520868183
6	2298	50.1	offene Veranstatltung	0	0.33345795439922643
71	2451	50.1	Off	0	0.30682683808432243
145	2739	50.1	Bewerbungsfoto	0	0.3036510648203713
121	2689	50.1	estes Mal	0	0.2929251502224177
138	2729	50.1	beschränkte	0	0.28602622407472
18	2318	50.1	Sofie	0	0.2676631393227584
158	2762	50.1	die Anmessung	0	0.2676549782720148
84	2487	50.1	Interessierte	0	0.2550816943288996
89	2501	50.1	kaffe	0	0.24595372692455042
136	2726	50.1	Energie Versorgung	0	0.24394973090151884
20	2320	50.1	Kaffe	0	0.24187924276844264
27	2331	50.1	Kaffee	0	0.23028886289887018
172	2790	50.1	1. Mai	0	0.21850502742984212
74	2457	50.1	Sophie	0	0.21152139526104763
110	2647	50.1	Sophie	0	0.21152137168284713
39	2367	50.1	LV1	0	0.20750557075522624
166	2779	50.1	offene Vera	0	0.1891977582871508
