	Teilnehmer	AufgabeItem	Antwort	gesamt	öffentlichen Dienst_dist
19	2317	50.2	öffentlichen Dienst	1	0.9999999999999786
87	2464	50.2	öffentlichen Dienst	1	0.9999999999999786
92	2482	50.2	öffentlichen Dienst	1	0.9999999999999786
127	2543	50.2	öffentlichen Dienst	1	0.9999999999999786
78	2452	50.2	öffentlichen Dienst	1	0.9999999999999604
21	2319	50.2	öffentlichen Dienst	1	0.9999999999999604
81	2456	50.2	öffentlichen Dienst	1	0.9999999999999604
25	2326	50.2	öffentlichen Dienst	1	0.9999999999999604
49	2379	50.2	öffentlichen Dienst	1	0.9999999999999604
28	2329	50.2	öffentlichen Dienst	1	0.9999999999999604
168	2745	50.2	öffentlichen Dienst	1	0.9999999999999604
158	2729	50.2	öffentlichen Dienst	1	0.9999999999999604
77	2449	50.2	öffentlichen Dienst	1	0.9999999999999604
172	2749	50.2	öffentlichen Dienst	1	0.9999999999999604
159	2730	50.2	öffentlichen Dienst	1	0.9999999999999604
136	2658	50.2	öffentlichen Dienst	1	0.9999999999999604
70	2442	50.2	öffentlichen Dienst	1	0.9999999999999604
73	2445	50.2	öffentlichen Dienst	1	0.9999999999999604
82	2458	50.2	öffentlichen Dienst	1	0.9999999999999604
137	2659	50.2	öffentlichen Dienst	1	0.9999999999999604
85	2461	50.2	öffentlichen Dienst	1	0.9999999999999604
123	2534	50.2	öffentlichen Dienst	1	0.9999999999999604
143	2692	50.2	öffentlichen Dienst	1	0.9999999999999604
116	2523	50.2	öffentlichen Dienst	1	0.9999999999999604
5	2297	50.2	öffentlichen Dienst	1	0.9999999999999604
111	2516	50.2	öffentlichen Dienst	1	0.9999999999999604
7	2300	50.2	öffentlichen Dienst	1	0.9999999999999604
133	2652	50.2	öffentlichen Dienst	1	0.9999999999999604
54	2385	50.2	öffentlichen Dienst	1	0.9999999999999604
125	2536	50.2	öffentlichen Dienst	1	0.9999999999999604
97	2488	50.2	öffentlichen Dienst	1	0.9999999999999604
130	2649	50.2	öffentlichen Dienst	1	0.9999999999999604
1	2291	50.2	öffentlichen Dienst	1	0.9999999999999588
29	2331	50.2	öffentlichen Dienst	1	0.9999999999999588
142	2691	50.2	öffentlichen Dienst	1	0.9999999999999352
