Teilnehmer	AufgabeItem	Antwort	gesamt	dist
2292	51.1	keine Noten zu geben	1	0.918918918918919
2527	51.1	keine Noten erhalten	1	0.8108108108108109
2384	51.1	klasische Notengebung	0	0.6842105263157895
2735	51.1	klassische Notengebung	0	0.6666666666666666
2456	51.1	keine Noten nur Hinweise	1	0.6341463414634146
2789	51.1	keine Schulnoten für Schuler geben	1	0.6274509803921569
2509	51.1	Keine Noten für Studenten.	1	0.6046511627906976
2453	51.1	keine Noten, Berichte über Leistungen	1	0.5925925925925926
2294	51.1	neue Notensysteme	0	0.5882352941176471
2722	51.1	klassische Noten kritirieren	0	0.5777777777777777
2436	51.1	klassiche Noten notwendig	0	0.5714285714285714
2379	51.1	gleiche note  agrumente	0	0.55
2775	51.1	Keine Noten, sonst Hinweise	1	0.5454545454545454
2464	51.1	Noten abschaffen	1	0.5454545454545454
2483	51.1	die noten	0	0.5384615384615384
2319	51.1	Fehlerbeurteilung der Notegebung	0	0.5306122448979592
2445	51.1	kritiesiert Noten	0	0.5294117647058824
2759	51.1	Fehler in dem Notensystem	0	0.5238095238095238
2749	51.1	Klassische Noten zu geben macht sinn.	0	0.5185185185185185
2779	51.1	nue Notesystem	0	0.5161290322580645
2795	51.1	Schulnoten benotig	0	0.5142857142857142
2778	51.1	Die Note ist notwendig	0	0.5128205128205128
2395	51.1	auf Noten zu vezichten	1	0.5128205128205128
2767	51.1	Die Noten nicht mehr verwenden	1	0.5106382978723404
2728	51.1	klassichen Notenabgebung nicht gut	0	0.5098039215686274
2790	51.1	Noten soll ersetzen	0	0.5
2482	51.1	für die klassischen Notengebung	0	0.5
2647	51.1	Kritisiert Noten	0	0.48484848484848486
2751	51.1	Klassische Noten	0	0.48484848484848486
2542	51.1	Noten system	0	0.4827586206896552
2378	51.1	gleich Notte	0	0.4827586206896552
2369	51.1	die Schulnoten sollen weg	1	0.47619047619047616
2543	51.1	Noten nicht mehr benutzen	1	0.47619047619047616
2519	51.1	Freie Beurteilung	0	0.47058823529411764
2399	51.1	N0ten Beurteilung	0	0.47058823529411764
2304	51.1	Nur Hinweisen bekommen	1	0.46153846153846156
